x_over_lambda,eta22_exact_norm,eta22_vwa_norm,eta22_walker_norm
-4.16663194010362,-6.23379155302091e-06,-6.10504270679652e-06,-4.8471376683683e-06
-4.16552069008626,-6.28032545615624e-06,-6.1525786134589e-06,-4.89463871826281e-06
-4.1644094400689,-6.32627467551955e-06,-6.19956473535431e-06,-4.94180965931563e-06
-4.16329819005153,-6.37163112440109e-06,-6.2459927487401e-06,-4.98864309583507e-06
-4.16218694003417,-6.4163867358374e-06,-6.29185433651532e-06,-5.03513160828482e-06
-4.16107569001681,-6.46053346346146e-06,-6.33714118906623e-06,-5.08126775408318e-06
-4.15996443999944,-6.50406328317927e-06,-6.38184500585717e-06,-5.12704406841399e-06
-4.15885318998208,-6.54696819354619e-06,-6.42595749633589e-06,-5.17245306504829e-06
-4.15774193996472,-6.5892402168259e-06,-6.46947038095499e-06,-5.21748723718193e-06
-4.15663068994736,-6.63087140085097e-06,-6.5123753924638e-06,-5.26213905828994e-06
-4.15551943992999,-6.67185381842714e-06,-6.55466427749964e-06,-5.30640098299637e-06
-4.15440818991263,-6.71217957020719e-06,-6.59632879676808e-06,-5.35026544794373e-06
-4.15329693989526,-6.75184078453312e-06,-6.63736072760928e-06,-5.39372487269741e-06
-4.1521856898779,-6.79082961880972e-06,-6.67775186386139e-06,-5.43677166065063e-06
-4.15107443986054,-6.82913826059147e-06,-6.71749401798001e-06,-5.47939819994178e-06
-4.14996318984318,-6.86675892887903e-06,-6.75657902203419e-06,-5.52159686439794e-06
-4.14885193982581,-6.90368387466892e-06,-6.79499872886862e-06,-5.56336001448046e-06
-4.14774068980845,-6.93990538240022e-06,-6.83274501328075e-06,-5.60467999824543e-06
-4.14662943979109,-6.97541577068235e-06,-6.86980977372403e-06,-5.64554915232727e-06
-4.14551818977372,-7.01020739388168e-06,-6.90618493285925e-06,-5.68595980292743e-06
-4.14440693975636,-7.04427264274936e-06,-6.94186243971679e-06,-5.72590426681651e-06
-4.14329568973899,-7.07760394565819e-06,-6.97683427008548e-06,-5.76537485235694e-06
-4.14218443972163,-7.11019376974083e-06,-7.01109242869496e-06,-5.80436386052996e-06
-4.14107318970427,-7.14203462163146e-06,-7.0446289497717e-06,-5.84286358598848e-06
-4.13996193968691,-7.17311904911005e-06,-7.07743589885123e-06,-5.88086631811062e-06
-4.13885068966954,-7.20343964187891e-06,-7.10950537399265e-06,-5.91836434207313e-06
-4.13773943965218,-7.23298903244064e-06,-7.14082950697861e-06,-5.9553499399406e-06
-4.13662818963482,-7.26175989797845e-06,-7.17140046492913e-06,-5.99181539176195e-06
-4.13551693961745,-7.28974496026994e-06,-7.20121045135933e-06,-6.02775297668539e-06
-4.13440568960009,-7.31693698786274e-06,-7.23025170778896e-06,-6.0631549740806e-06
-4.13329443958273,-7.34332879674587e-06,-7.25851651511937e-06,-6.09801366468496e-06
-4.13218318956536,-7.36891325122743e-06,-7.2859971946754e-06,-6.13232133174748e-06
-4.131071939548,-7.39368326553844e-06,-7.31268611032206e-06,-6.1660702622015e-06
-4.12996068953064,-7.41763180490139e-06,-7.33857566893045e-06,-6.19925274783511e-06
-4.12884943951327,-7.44075188613491e-06,-7.36365832258046e-06,-6.23186108649184e-06
-4.12773818949591,-7.46303657938265e-06,-7.38792656949102e-06,-6.26388758326421e-06
-4.12662693947855,-7.48447900873588e-06,-7.41137295586133e-06,-6.29532455171664e-06
-4.12551568946118,-7.50507235401639e-06,-7.43399007693942e-06,-6.32616431511337e-06
-4.12440443944382,-7.52480985127795e-06,-7.45577057856112e-06,-6.3563992076547e-06
-4.12329318942646,-7.54368479420258e-06,-7.47670715859454e-06,-6.38602157574013e-06
-4.12218193940909,-7.56169053547136e-06,-7.49679256867674e-06,-6.4150237792227e-06
-4.12107068939173,-7.57882048741622e-06,-7.51601961530745e-06,-6.44339819269562e-06
-4.11995943937437,-7.59506812380312e-06,-7.53438116129973e-06,-6.47113720677892e-06
-4.118848189357,-7.61042698034858e-06,-7.55187012774157e-06,-6.49823322942045e-06
-4.11773693933964,-7.6248906561623e-06,-7.56847949477049e-06,-6.52467868721073e-06
-4.11662568932228,-7.63845281546366e-06,-7.58420230383909e-06,-6.55046602670562e-06
-4.11551443930491,-7.65110718744391e-06,-7.5990316583659e-06,-6.57558771576562e-06
-4.11440318928755,-7.66284756904283e-06,-7.61296072604952e-06,-6.60003624490186e-06
-4.11329193927019,-7.67366782463565e-06,-7.62598273975704e-06,-6.62380412863557e-06
-4.11218068925282,-7.68356188831885e-06,-7.63809099934926e-06,-6.64688390686803e-06
-4.11106943923546,-7.69252376435309e-06,-7.64927887325544e-06,-6.66926814626076e-06
-4.1099581892181,-7.70054752916418e-06,-7.65953979944185e-06,-6.69094944162729e-06
-4.10884693920073,-7.70762733160807e-06,-7.66886728786251e-06,-6.71192041733647e-06
-4.10773568918337,-7.71375739478402e-06,-7.6772549211286e-06,-6.73217372872484e-06
-4.10662443916601,-7.71893201696077e-06,-7.68469635641247e-06,-6.75170206351644e-06
-4.10551318914864,-7.72314557308244e-06,-7.69118532705829e-06,-6.77049814326177e-06
-4.10440193913128,-7.72639251554443e-06,-7.69671564383899e-06,-6.78855472477214e-06
-4.10329068911392,-7.7286673758419e-06,-7.70128119702175e-06,-6.80586460158107e-06
-4.10217943909655,-7.72996476563519e-06,-7.70487595695349e-06,-6.82242060539868e-06
-4.10106818907919,-7.73027937745965e-06,-7.70749397673086e-06,-6.83821560759003e-06
-4.09995693906183,-7.72960598705625e-06,-7.70912939300034e-06,-6.85324252065121e-06
-4.09884568904446,-7.72793945371903e-06,-7.70977642777225e-06,-6.86749429969936e-06
-4.0977344390271,-7.72527472145233e-06,-7.70942938993391e-06,-6.88096394397168e-06
-4.09662318900974,-7.72160682101456e-06,-7.70808267672547e-06,-6.89364449833453e-06
-4.09551193899237,-7.71693087016127e-06,-7.70573077556273e-06,-6.90552905479475e-06
-4.09440068897501,-7.71124207587428e-06,-7.70236826502707e-06,-6.91661075402596e-06
-4.09328943895765,-7.70453573484741e-06,-7.69798981729262e-06,-6.92688278690175e-06
-4.09217818894028,-7.69680723503548e-06,-7.6925901987116e-06,-6.93633839602962e-06
