k,G_diag_exact,G_diag_vwa,G_exact_kn_0p5kp,G_vwa_kn_0p5kp,G_exact_kn_1p0kp,G_vwa_kn_1p0kp,G_exact_kn_1p5kp,G_vwa_kn_1p5kp
0.546733668341709,0.0157762763874425,0.0157762763874425,0.0152505397698249,0.0152474698227482,0.0219003210137729,0.0218432055735363,0.0289406858368772,0.0288131894018206
0.558291457286432,0.0160508424367667,0.0160508424367667,0.0153893135973372,0.0153847528474103,0.0220299958629227,0.0219804885981984,0.0290626304979428,0.0289504724264827
0.569849246231156,0.0163296860838846,0.0163296860838846,0.0155304329354827,0.0155241746709693,0.0221627812732415,0.0221199104217573,0.0291885369136052,0.0290898942500417
0.581407035175879,0.0166124357234612,0.0166124357234612,0.0156736799172749,0.0156655494907575,0.0222983714031151,0.0222612852415456,0.0293180053057421,0.0292312690698299
0.592964824120603,0.0168987514527155,0.0168987514527155,0.0158188568726623,0.0158087073553847,0.0224364906269091,0.0224044431061728,0.0294506765309223,0.0293744269344571
0.604522613065327,0.0171883222976066,0.0171883222976066,0.0159657844273074,0.0159534927778303,0.0225768904900868,0.0225492285286183,0.029586227863642,0.0295192123569027
0.61608040201005,0.0174808637174641,0.0174808637174641,0.0161142997903669,0.016099763487759,0.0227193469863879,0.022695499238547,0.029724369237475,0.0296654830668314
0.627638190954774,0.017776115351207,0.017776115351207,0.0162642552101145,0.0162473893046305,0.0228636581197051,0.0228431250554185,0.0298648398901124,0.0298131088837029
0.639195979899498,0.0180738389746743,0.0180738389746743,0.0164155165790787,0.0163962511163641,0.0230096417182682,0.0229919868671522,0.030007405365481,0.0299619706954365
0.650753768844221,0.0183738166437104,0.0183738166437104,0.0165679621727441,0.0165462399508821,0.0231571334729477,0.0231419757016702,0.0301518548322233,0.0301119595299545
0.662311557788945,0.0186758490017759,0.0186758490017759,0.0167214815078701,0.0166972561299149,0.0233059851750563,0.023292991880703,0.0302979986830095,0.0302629757089873
0.673869346733668,0.018979753734169,0.018979753734169,0.0168759743081861,0.0168492084961115,0.0234560631320664,0.0234449442468995,0.0304456663835741,0.0304149280751839
0.685427135678392,0.0192853641536362,0.0192853641536362,0.0170313495666703,0.0170020137058451,0.0236072467422674,0.0235977494566331,0.0305947045441629,0.0305677332849175
0.696984924623116,0.0195925279043301,0.0195925279043301,0.0171875246948629,0.017155595581192,0.0237594272116235,0.02375133133198,0.0307449751893443,0.0307213151602644
0.708542713567839,0.0199011057728515,0.0199011057728515,0.0173444247507373,0.0173098845154527,0.0239125063980307,0.0239056202662408,0.0308963542049589,0.0308756040945251
0.720100502512563,0.0202109705965706,0.0202109705965706,0.0175019817375768,0.0174648169273123,0.0240663957698479,0.0240605526781003,0.0310487299434299,0.0310305365063847
0.731658291457286,0.0205220062606193,0.0205220062606193,0.0176601339671085,0.0176203347593366,0.0242210154670376,0.0242160705101247,0.0312020019707878,0.031186054338409
0.74321608040201,0.0208341067759465,0.0208341067759465,0.017818825480851,0.0177763850170002,0.0243762934545299,0.0243721207677883,0.031356079940625,0.0313421045960726
0.754773869346734,0.0211471754316555,0.0211471754316555,0.0179780055242495,0.0179329193448547,0.0245321647585408,0.0245286550956427,0.0315108825818247,0.0314986389239271
0.766331658291457,0.0214611240155453,0.0214611240155453,0.0181376280687105,0.0180898936367996,0.0246885707775613,0.0246856293875877,0.0316663367883432,0.031655613215872
0.777889447236181,0.0217758720973721,0.0217758720973721,0.018297651377134,0.018247267677713,0.0248454586606033,0.0248430034285011,0.0318223768005853,0.0318129872567854
0.789447236180905,0.0220913463698564,0.0220913463698564,0.0184580376089639,0.0184050048139552,0.0250027807460537,0.0250007405647432,0.0319789434690278,0.0319707243930276
0.801005025125628,0.0224074800429042,0.0224074800429042,0.0186187524611576,0.0185630716504791,0.0251604940551744,0.0251588074012671,0.0321359835917332,0.0321287912295515
0.812562814070352,0.0227242122868952,0.0227242122868952,0.0187797648418139,0.0187214377724746,0.0253185598348869,0.0253171735232626,0.0322934493182696,0.032287157351547
0.824120603015075,0.023041487721234,0.023041487721234,0.018941046573505,0.0188800754896439,0.0254769431450237,0.025475811240432,0.0324512976133322,0.0324457950687163
0.835678391959799,0.0233592559446589,0.0233592559446589,0.0191025721236279,0.0190389596013564,0.0256356124857095,0.0256346953521445,0.0326094897740524,0.0326046791804288
0.847236180904523,0.0236774711040815,0.0236774711040815,0.019264318359338,0.0191980671810677,0.0257945394609653,0.0257938029318558,0.0327679909956002,0.0327637867601401
0.858793969849246,0.0239960914989678,0.0239960914989678,0.0194262643248495,0.0193573773785109,0.0259536984750158,0.0259531131292989,0.0329267699802316,0.0329230969575833
0.87035175879397,0.0243150792185042,0.0243150792185042,0.0195883910390876,0.0195168712382791,0.026113066458126,0.0261126069890671,0.0330857985854335,0.0330825908173515
0.881909547738693,0.0246343998089892,0.0246343998089892,0.0197506813118574,0.0196765315335215,0.0262726226191038,0.0262722672843096,0.0332450515072499,0.033242251112594
0.893467336683417,0.0249540219690841,0.0249540219690841,0.019913119576862,0.019836342613569,0.0264323482218843,0.0264320783643571,0.0334045059952751,0.0334020621926414
0.905025125628141,0.0252739172707293,0.0252739172707293,0.0200756917400499,0.0199962902643916,0.0265922263838641,0.0265920260151797,0.0335641415961506,0.033562009843464
0.916582914572864,0.0255940599036914,0.0255940599036914,0.0202383850419054,0.0201563615808726,0.0267522418938799,0.0267520973316607,0.0337239399227199,0.0337220811599451
0.928140703517588,0.02591442644186,0.02591442644186,0.020401187932425,0.0203165448499569,0.026912381047927,0.026912280600745,0.0338838844462806,0.0338822644290293
0.939698492462312,0.0262349956295465,0.0262349956295465,0.0205640899576287,0.0204768294438002,0.0270726315009035,0.0270725651945883,0.0340439603096308,0.0340425490228726
0.951256281407035,0.0265557481861729,0.0265557481861729,0.0207270816565625,0.0206372057221134,0.0272329821328244,0.0272329414729015,0.0342041541588337,0.0342029253011858
0.962814070351759,0.0268766666278523,0.0268766666278523,0.0208901544678374,0.0207976649429531,0.0273934229281058,0.0273934006937412,0.0343644539918349,0.0343633845220255
0.974371859296482,0.0271977351044815,0.0271977351044815,0.0210533006448398,0.0209581991812677,0.0275539448666506,0.0275539349320558,0.0345248490222502,0.0345239187603401
0.985929648241206,0.0275189392510653,0.0275189392510653,0.021216513178821,0.0211188012545596,0.0277145398255921,0.0277145370053477,0.0346853295568105,0.034684520833632
